period,cow,date_range,avg_elo,sd_elo,median_elo
1,2051,2020-11-24 to 2020-12-03,1047.9,32.473750082866076,1064
1,2063,2020-11-24 to 2020-12-03,1134,33.13608305156178,1140
1,2074,2020-11-24 to 2020-12-03,1033.3,29.616249293626332,1030
1,3131,2020-11-24 to 2020-12-03,695.7,29.989072083751516,693.5
1,3150,2020-11-24 to 2020-12-03,986.2,30.81774380666653,985
1,4044,2020-11-24 to 2020-12-03,1044.2,18.443908961437042,1042.5
1,4072,2020-11-24 to 2020-12-03,1030.7,23.504373115562043,1025
1,4080,2020-11-24 to 2020-12-03,972.1,29.308512225783296,981
1,5028,2020-11-24 to 2020-12-03,1112.7,47.33814529531126,1111.5
1,5041,2020-11-24 to 2020-12-03,1135.8,24.18355731575577,1136.5
1,5042,2020-11-24 to 2020-12-03,1070,37.44032288559726,1069
1,5046,2020-11-24 to 2020-12-03,979.5,31.732387941099617,988.5
1,5058,2020-11-24 to 2020-12-03,1349.1,30.156812386811264,1355.5
1,5059,2020-11-24 to 2020-12-03,901.3,30.742840178197948,894
1,5061,2020-11-24 to 2020-12-03,1145.6,33.00572340939943,1150
1,5100,2020-11-24 to 2020-12-03,1041.5,29.45901107188314,1038
1,5120,2020-11-24 to 2020-12-03,1352,41.43803942166076,1354
1,5123,2020-11-24 to 2020-12-03,990.9,24.301120230237213,992
1,5124,2020-11-24 to 2020-12-03,1158.1,38.22288436118981,1147.5
1,5135,2020-11-24 to 2020-12-03,1132.3,24.904484201310684,1136.5
1,5137,2020-11-24 to 2020-12-03,976,30.107215820205703,987
1,5139,2020-11-24 to 2020-12-03,872.4,29.680521109531302,884.5
1,5145,2020-11-24 to 2020-12-03,899.3,20.29805683091638,899
1,6005,2020-11-24 to 2020-12-03,1096.9,27.826645903202607,1105
1,6020,2020-11-24 to 2020-12-03,1109.3,17.320828822868467,1109
1,6022,2020-11-24 to 2020-12-03,1107.8,40.12425146411526,1115
1,6027,2020-11-24 to 2020-12-03,1021.1,47.71780473669015,1018.5
1,6029,2020-11-24 to 2020-12-03,1116.4,27.681522116145757,1111
1,6030,2020-11-24 to 2020-12-03,948.7,35.59353873949596,951
1,6033,2020-11-24 to 2020-12-03,1112.4,28.166962523101024,1108.5
1,6050,2020-11-24 to 2020-12-03,1179.5,29.10994484517085,1183
1,6055,2020-11-24 to 2020-12-03,894.3,25.89315653904629,901
1,6060,2020-11-24 to 2020-12-03,997.1,38.86572325899062,997.5
1,6069,2020-11-24 to 2020-12-03,1208,31.587620641285692,1201
1,6079,2020-11-24 to 2020-12-03,964.5,37.97440658595676,964.5
1,6084,2020-11-24 to 2020-12-03,1019.5,25.100907464782136,1016
1,6087,2020-11-24 to 2020-12-03,987.8,63.951022926403084,971.5
1,6090,2020-11-24 to 2020-12-03,709,33.793490497431605,707.5
